year,Economic families,Economic families and persons not in an economic family,Persons not in an economic family,median_avg_rent_value,cpi_value,real_income_2023,real_rent_2023,rent_to_income_ratio
1987,89100.0,70100.0,32800.0,412.0,68.5,204344.6715328467,944.8934306569342,0.0046240179573512905
1988,91200.0,71400.0,33400.0,424.0,71.2,201229.21348314604,935.5393258426966,0.004649122807017544
1989,93300.0,73600.0,35800.0,434.0,74.8,195954.94652406414,911.5160427807486,0.004651661307609861
1990,90300.0,70200.0,32900.0,461.0,78.4,180945.53571428568,923.7640306122447,0.005105204872646733
1991,86200.0,66400.0,30400.0,485.0,82.8,163550.96618357487,920.2113526570048,0.005626450116009281
1992,86200.0,66200.0,29800.0,494.0,84.0,161214.52380952382,923.8976190476191,0.005730858468677494
1993,84300.0,64800.0,29900.0,498.5,85.6,154714.1355140187,914.8872663551402,0.005913404507710557
1994,85300.0,65300.0,29100.0,511.0,85.7,156366.74445740957,936.7339556592765,0.0059906213364595545
1995,84500.0,65000.0,30400.0,516.0,87.6,151540.52511415526,925.3835616438356,0.006106508875739645
1996,84900.0,64000.0,29100.0,520.0,88.9,150031.38357705285,918.920134983127,0.006124852767962308
1997,85400.0,63800.0,29200.0,528.0,90.4,148410.84070796458,917.575221238938,0.006182669789227166
1998,87800.0,65700.0,30200.0,538.5,91.3,151077.5465498357,926.5974808324206,0.006133257403189066
1999,90100.0,67600.0,31100.0,544.0,92.9,152365.01614639396,919.9397201291711,0.0060377358490566035
2000,91900.0,68600.0,32400.0,550.0,95.4,151336.37316561842,905.712788259958,0.0059847660500544075
2001,93500.0,70200.0,34000.0,560.0,97.8,150192.74028629856,899.5501022494886,0.005989304812834224
2002,92900.0,69800.0,35700.0,567.0,100.0,145945.9,890.757,0.006103336921420882
2003,93200.0,69800.0,34800.0,580.0,102.8,142429.18287937742,886.3618677042801,0.006223175965665236
2004,94400.0,70700.0,35200.0,584.5,104.7,141645.0811843362,877.0291308500477,0.006191737288135594
2005,95300.0,71600.0,34300.0,604.5,107.0,139921.77570093455,887.5415887850467,0.006343126967471144
2006,98100.0,73400.0,35000.0,623.0,109.1,141260.40329972503,897.0971585701192,0.006350662589194699
2007,100600.0,74800.0,36400.0,656.0,111.5,141742.24215246635,924.2834080717488,0.006520874751491054
2008,102400.0,75700.0,37400.0,676.5,114.1,140990.70990359335,931.4474145486416,0.0066064453125000006
2009,101100.0,74400.0,37700.0,704.0,114.4,138835.75174825173,966.7692307692307,0.006963402571711178
2010,101500.0,74000.0,38200.0,715.0,116.5,136872.5321888412,964.175965665236,0.007044334975369458
2011,102600.0,73900.0,36100.0,736.0,119.9,134432.5271059216,964.3502919099249,0.007173489278752437
2012,106300.0,76100.0,38300.0,764.0,121.7,137220.46014790467,986.2317173377156,0.007187206020696143
2013,106600.0,76600.0,39800.0,779.5,122.8,136375.08143322475,997.2267915309446,0.007312382739212008
2014,109600.0,79000.0,40300.0,803.0,125.2,137525.2396166134,1007.5982428115016,0.007326642335766425
2015,110400.0,78500.0,37900.0,832.0,126.6,136997.15639810424,1032.4423380726698,0.007536231884057973
2016,109900.0,77600.0,38500.0,847.0,128.4,134464.8753894081,1036.3216510903426,0.007707006369426752
2017,112100.0,80000.0,39600.0,875.0,130.4,135052.99079754602,1054.1602760736196,0.007805530776092773
2018,115100.0,80500.0,39400.0,898.0,133.4,135548.80059970013,1057.5397301349326,0.007801911381407473
2019,114700.0,80800.0,40600.0,937.0,136.0,132495.36764705883,1082.372794117647,0.008169136878814296
2020,121900.0,86400.0,43400.0,974.0,137.0,139784.59854014596,1116.9007299270072,0.007990155865463495
2021,122300.0,87000.0,45200.0,1000.5,141.6,135687.35875706217,1110.0180084745764,0.008180703188879803
2022,120200.0,83800.0,43700.0,1064.5,151.2,124890.34391534391,1106.038029100529,0.008856073211314475
2023,121000.0,84600.0,44300.0,1185.0,157.1,121000.0,1185.0,0.009793388429752066
