"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","72800","","","","0"
"1977","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","73300","","","","0"
"1978","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","73400","","","","0"
"1979","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","73100","","","","0"
"1980","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","75100","","","","0"
"1981","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","73200","","","","0"
"1982","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","70400","","","","0"
"1983","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","67700","","","","0"
"1984","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","68300","","","","0"
"1985","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","69200","","","","0"
"1986","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","70200","","","","0"
"1987","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","70100","","","","0"
"1988","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","71400","","","","0"
"1989","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","73600","","","","0"
"1990","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","70200","","","","0"
"1991","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","66400","","","","0"
"1992","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","66200","","","","0"
"1993","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","64800","A","","","0"
"1994","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","65300","A","","","0"
"1995","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","65000","A","","","0"
"1996","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","64000","A","","","0"
"1997","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","63800","A","","","0"
"1998","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","65700","A","","","0"
"1999","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","67600","A","","","0"
"2000","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","68600","A","","","0"
"2001","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","70200","A","","","0"
"2002","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","69800","A","","","0"
"2003","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","69800","A","","","0"
"2004","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","70700","A","","","0"
"2005","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","71600","A","","","0"
"2006","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","73400","A","","","0"
"2007","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","74800","A","","","0"
"2008","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","75700","A","","","0"
"2009","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","74400","A","","","0"
"2010","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","74000","A","","","0"
"2011","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","73900","A","","","0"
"2012","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","76100","A","","","0"
"2013","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","76600","A","","","0"
"2014","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","79000","A","","","0"
"2015","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","78500","A","","","0"
"2016","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","77600","A","","","0"
"2017","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","80000","A","","","0"
"2018","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","80500","A","","","0"
"2019","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","80800","A","","","0"
"2020","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","86400","A","","","0"
"2021","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","87000","A","","","0"
"2022","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","83800","A","","","0"
"2023","Canada","2021A000011124","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416851","1.1.1.4","84600","A","","","0"
"1976","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","87300","","","","0"
"1977","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","88000","","","","0"
"1978","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","88400","","","","0"
"1979","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","89100","","","","0"
"1980","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","91500","","","","0"
"1981","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","89600","","","","0"
"1982","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","86000","","","","0"
"1983","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","83500","","","","0"
"1984","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","85100","","","","0"
"1985","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","86600","","","","0"
"1986","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","88300","","","","0"
"1987","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","89100","","","","0"
"1988","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","91200","","","","0"
"1989","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","93300","","","","0"
"1990","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","90300","","","","0"
"1991","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","86200","","","","0"
"1992","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","86200","","","","0"
"1993","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","84300","A","","","0"
"1994","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","85300","A","","","0"
"1995","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","84500","A","","","0"
"1996","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","84900","A","","","0"
"1997","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","85400","A","","","0"
"1998","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","87800","A","","","0"
"1999","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","90100","A","","","0"
"2000","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","91900","A","","","0"
"2001","Canada","2021A000011124","Economic families","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96416911","1.2.1.4","93500","A","","","0"
