"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1988","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1989","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1990","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1991","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1992","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1993","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1994","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1995","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1996","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1997","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1998","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"1999","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"2000","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"2001","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"2002","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"2003","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"2004","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"2005","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"2006","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","..","","","0"
"2007","Bay Roberts, Newfoundland and Labrador","2011S0504005","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v42135737","192.4.3","","F","","","0"
