"REF_DATE","GEO","DGUID","Family characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","50800","","","","0"
"2001","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","53500","","","","0"
"2002","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","55000","","","","0"
"2003","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","56000","","","","0"
"2004","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","58100","","","","0"
"2005","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","60600","","","","0"
"2006","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","63600","","","","0"
"2007","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","66550","","","","0"
"2008","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","68860","","","","0"
"2009","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","68410","","","","0"
"2010","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","69860","","","","0"
"2011","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","72240","","","","0"
"2012","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","74540","","","","0"
"2013","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","76550","","","","0"
"2014","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","78870","","","","0"
"2015","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","80940","","","","0"
"2016","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","82110","","","","0"
"2017","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","84950","","","","0"
"2018","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","87930","","","","0"
"2019","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","90390","","","","0"
"2020","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","96220","","","","0"
"2021","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","98390","","","","0"
"2022","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","101840","","","","0"
"2023","Canada","2021A11124","Median total income, all families","Dollars","81","units","0","v21187317","1.9","105370","","","","0"
"2000","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","56500","","","","0"
"2001","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","59600","","","","0"
"2002","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","61200","","","","0"
"2003","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","62600","","","","0"
"2004","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","64800","","","","0"
"2005","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","67600","","","","0"
"2006","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","70400","","","","0"
"2007","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","73420","","","","0"
"2008","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","75880","","","","0"
"2009","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","75320","","","","0"
"2010","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","76950","","","","0"
"2011","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","79530","","","","0"
"2012","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","81980","","","","0"
"2013","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","84080","","","","0"
"2014","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","86410","","","","0"
"2015","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","88610","","","","0"
"2016","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","89610","","","","0"
"2017","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","92990","","","","0"
"2018","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","96080","","","","0"
"2019","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","98690","","","","0"
"2020","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","104350","","","","0"
"2021","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","107020","","","","0"
"2022","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","110850","","","","0"
"2023","Canada","2021A11124","Median total income, couple families","Dollars","81","units","0","v21187319","1.11","114560","","","","0"
"2000","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","24900","","","","0"
"2001","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","27200","","","","0"
"2002","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","28100","","","","0"
"2003","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","28600","","","","0"
"2004","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","29500","","","","0"
"2005","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","30000","","","","0"
"2006","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","33000","","","","0"
"2007","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","34540","","","","0"
"2008","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","35990","","","","0"
"2009","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","36100","","","","0"
"2010","Canada","2021A11124","Median total income, one-parent families","Dollars","81","units","0","v21187321","1.13","37050","","","","0"
